id,country,year,population,co2,iso_n3
2147,Oman,2023,5049268.0,78.511,512
2159,Pakistan,2023,247504504.0,200.667,586
2171,Palau,2023,17750.0,0.222,585
2195,Panama,2023,4458759.0,14.018,591
2207,Papua New Guinea,2023,10389638.0,8.322,598
2219,Paraguay,2023,6844152.0,8.139,600
2231,Peru,2023,33845617.0,55.864,604
2243,Philippines,2023,114891200.0,154.579,608
2255,Poland,2023,38762847.0,289.282,616
2267,Portugal,2023,10430735.0,37.228,620
2279,Qatar,2023,2979087.0,115.712,634
2291,Romania,2023,19118481.0,68.239,642
2315,Rwanda,2023,13954474.0,1.54,646
2363,Saint Kitts and Nevis,2023,46783.0,0.233,659
2375,Saint Lucia,2023,179293.0,0.511,662
2387,Saint Pierre and Miquelon,2023,5707.0,0.056,666
2399,Saint Vincent and the Grenadines,2023,101331.0,0.237,670
2411,Samoa,2023,216674.0,0.257,882
2423,San Marino,2023,33761.0,,674
2435,Sao Tome and Principe,2023,230881.0,0.166,678
2447,Saudi Arabia,2023,33264288.0,736.205,682
2459,Senegal,2023,18077573.0,11.901,686
2471,Serbia,2023,6773203.0,42.358,688
2483,Seychelles,2023,127961.0,0.551,690
2495,Sierra Leone,2023,8460523.0,1.232,694
2507,Singapore,2023,5789091.0,49.253,702
2519,Sint Maarten (Dutch part),2023,42775.0,0.693,534
2531,Slovakia,2023,5518057.0,30.739,703
2543,Slovenia,2023,2118395.0,11.328,705
2555,Solomon Islands,2023,800013.0,0.303,090
2567,Somalia,2023,18358621.0,0.558,706
2579,South Africa,2023,63212386.0,401.893,710
2615,South Korea,2023,51748744.0,577.417,410
2627,South Sudan,2023,11483373.0,1.58,728
2639,Spain,2023,47911583.0,221.616,724
2651,Sri Lanka,2023,22971616.0,20.318,144
2663,Sudan,2023,50042799.0,20.001,729
2675,Suriname,2023,628892.0,2.647,740
2687,Sweden,2023,10551493.0,36.556,752
2699,Switzerland,2023,8870564.0,32.737,756
2711,Syria,2023,23594622.0,25.503,760
2723,Taiwan,2023,23317145.0,261.153,158
2735,Tajikistan,2023,10389808.0,9.055,762
2747,Tanzania,2023,66617607.0,18.066,834
2759,Thailand,2023,71702438.0,264.389,764
2771,Togo,2023,9304344.0,2.62,768
2783,Tonga,2023,104614.0,0.199,776
2795,Trinidad and Tobago,2023,1502936.0,34.318,780
2807,Tunisia,2023,12200434.0,32.793,788
2831,Turkmenistan,2023,7364437.0,63.363,795
2843,Turks and Caicos Islands,2023,46219.0,0.371,796
2855,Tuvalu,2023,9837.0,0.012,798
2867,Uganda,2023,48656604.0,5.614,800
2879,Ukraine,2023,37732832.0,136.461,804
2891,United Arab Emirates,2023,10642089.0,229.384,784
2903,United Kingdom,2023,68682965.0,305.146,826
2915,United States,2023,343477332.0,4911.391,840
2939,Uruguay,2023,3388083.0,7.866,858
2951,Uzbekistan,2023,35652309.0,124.768,860
2963,Vanuatu,2023,320422.0,0.226,548
2987,Venezuela,2023,28300860.0,99.569,862
2999,Vietnam,2023,100352189.0,334.726,704
3011,Wallis and Futuna,2023,11394.0,0.031,876
3035,Yemen,2023,39390800.0,10.035,887
3047,Zambia,2023,20723968.0,7.749,894
3059,Zimbabwe,2023,16340829.0,11.164,716
